ubuntu-upstart,adduser,3.113+nmu3ubuntu3
ubuntu-upstart,apt,1.0.1ubuntu2.10
ubuntu-upstart,apt-utils,1.0.1ubuntu2.10
ubuntu-upstart,argparse,1.2.1
ubuntu-upstart,base-files,7.2ubuntu5.3
ubuntu-upstart,base-passwd,3.5.33
ubuntu-upstart,bash,4.3-7ubuntu1.5
ubuntu-upstart,bsdutils,1:2.20.1-5.1ubuntu20.7
ubuntu-upstart,busybox,1.21.1
ubuntu-upstart,busybox-initramfs,1:1.21.0-1ubuntu1
ubuntu-upstart,bzip2,1.0.6-5
ubuntu-upstart,ca-certificates,20141019ubuntu0.14.04.1
ubuntu-upstart,chardet,2.0.1
ubuntu-upstart,console-setup,1.70ubuntu8
ubuntu-upstart,coreutils,8.21-1ubuntu5.3
ubuntu-upstart,cpio,2.11+dfsg-1ubuntu1.1
ubuntu-upstart,cron,3.0pl1-124ubuntu2
ubuntu-upstart,dash,0.5.7-4ubuntu1
ubuntu-upstart,debconf,1.5.51ubuntu2
ubuntu-upstart,debconf-i18n,1.5.51ubuntu2
ubuntu-upstart,debianutils,4.4
ubuntu-upstart,dh-python,1.20140128-1ubuntu8.2
ubuntu-upstart,diffutils,1:3.3-1
ubuntu-upstart,dmsetup,2:1.02.77-6ubuntu2
ubuntu-upstart,dpkg,1.17.5ubuntu5.5
ubuntu-upstart,e2fslibs,1.42.9-3ubuntu1.3
ubuntu-upstart,e2fsprogs,1.42.9-3ubuntu1.3
ubuntu-upstart,eject,2.1.5+deb1+cvs20081104-13.1
ubuntu-upstart,file,1:5.14-2ubuntu3.3
ubuntu-upstart,findutils,4.4.2-7
ubuntu-upstart,gcc-4.8-base,4.8.4-2ubuntu1~14.04
ubuntu-upstart,gcc-4.9-base,4.9.3-0ubuntu4
ubuntu-upstart,gnupg,1.4.16-1ubuntu2.3
ubuntu-upstart,gpgv,1.4.16-1ubuntu2.3
ubuntu-upstart,grep,2.16-1
ubuntu-upstart,gzip,1.6-3ubuntu1
ubuntu-upstart,hostname,3.15ubuntu1
ubuntu-upstart,ifupdown,0.7.47.2ubuntu4.1
ubuntu-upstart,init-system-helpers,1.14
ubuntu-upstart,initramfs-tools,0.103ubuntu4.2
ubuntu-upstart,initramfs-tools-bin,0.103ubuntu4.2
ubuntu-upstart,initscripts,2.88dsf-41ubuntu6.2
ubuntu-upstart,insserv,1.14.0-5ubuntu2
ubuntu-upstart,iproute2,3.12.0-2ubuntu1
ubuntu-upstart,iputils-ping,3:20121221-4ubuntu1.1
ubuntu-upstart,isc-dhcp-client,4.2.4-7ubuntu12.4
ubuntu-upstart,isc-dhcp-common,4.2.4-7ubuntu12.4
ubuntu-upstart,kbd,1.15.5-1ubuntu1
ubuntu-upstart,keyboard-configuration,1.70ubuntu8
ubuntu-upstart,klibc-utils,2.0.3-0ubuntu1
ubuntu-upstart,kmod,15-0ubuntu6
ubuntu-upstart,krb5-locales,1.12+dfsg-2ubuntu5.2
ubuntu-upstart,less,458-2
ubuntu-upstart,libacl1,2.2.52-1
ubuntu-upstart,libapt-inst1.5,1.0.1ubuntu2.10
ubuntu-upstart,libapt-pkg4.12,1.0.1ubuntu2.10
ubuntu-upstart,libarchive-extract-perl,0.70-1
ubuntu-upstart,libattr1,1:2.4.47-1ubuntu1
ubuntu-upstart,libaudit-common,1:2.3.2-2ubuntu1
ubuntu-upstart,libaudit1,1:2.3.2-2ubuntu1
ubuntu-upstart,libblkid1,2.20.1-5.1ubuntu20.7
ubuntu-upstart,libbsd0,0.6.0-2ubuntu1
ubuntu-upstart,libbz2-1.0,1.0.6-5
ubuntu-upstart,libc-bin,2.19-0ubuntu6.6
ubuntu-upstart,libc6,2.19-0ubuntu6.6
ubuntu-upstart,libcap2,1:2.24-0ubuntu2
ubuntu-upstart,libcap2-bin,1:2.24-0ubuntu2
ubuntu-upstart,libcgmanager0,0.24-0ubuntu7.5
ubuntu-upstart,libck-connector0,0.4.5-3.1ubuntu2
